gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,child_num_over_five,duplicated_num,before_employed
0,0,0,0,12.218495165528731,0,1,1,2,38.07945205479452,2.6319873865767356,0,0,0,12,2.0,6.0,1.0,False,2,35.44746466821779
0,0,1,1,12.419165860990882,0,4,0,1,31.17808219178082,1.6523399339783098,0,0,1,8,3.0,5.0,1.0,False,1,29.52574225780251
1,1,1,0,13.017002861746503,4,1,1,1,52.293150684931504,2.576265488275754,0,1,0,10,2.0,22.0,2.0,False,5,49.71688519665575
0,0,1,0,12.218495165528731,0,4,1,1,41.33698630136986,1.9067990189386876,0,1,0,15,2.0,37.0,0.0,False,1,39.43018728243118
0,1,1,0,11.967180737247824,2,1,1,1,41.1972602739726,1.9120760760395314,0,0,0,10,2.0,26.0,2.0,False,1,39.28518419793307
0,0,1,2,12.506177237980511,4,4,1,1,36.74794520547945,2.687008450245046,0,0,1,6,4.0,18.0,1.0,False,1,34.06093675523441
0,0,0,0,12.66032791780777,4,4,2,1,48.136986301369866,1.8592900849253042,0,0,1,3,1.0,41.0,2.0,False,5,46.27769621644456
1,0,1,0,12.506177237980511,0,4,1,1,40.81095890410959,2.7631262860452854,0,0,1,4,2.0,53.0,0.0,False,2,38.047832618064305
1,1,1,1,12.100712129872347,0,1,1,1,41.45479452054794,1.6127201910920193,0,0,1,12,3.0,38.0,2.0,False,4,39.842074329455926
0,0,1,0,11.547326891687561,4,4,1,1,43.24657534246575,1.5224763474043324,0,0,0,11,2.0,5.0,2.0,False,6,41.72409899506142
0,0,1,0,12.173032791451973,4,4,2,1,52.227397260273975,1.9548718299166412,1,1,1,8,1.0,40.0,2.0,False,4,50.272525430357334
1,1,1,1,11.813030057420567,0,1,1,1,32.21643835616438,0.22259545593189456,0,0,0,10,3.0,51.0,2.0,False,5,31.993842900232487
0,1,1,1,11.967180737247824,0,4,1,1,32.706849315068496,1.9348907538057027,0,0,0,0,3.0,60.0,0.0,False,4,30.771958561262792
0,0,0,0,11.813030057420567,4,1,1,1,27.087671232876712,2.0513098028904797,0,1,0,15,2.0,41.0,2.0,False,4,25.036361429986233
