index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,38.07945205479452,12.901369863013699,1,0,0,0,No job,2.0,6.0,1.0
1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31.17808219178082,4.219178082191781,1,0,0,1,Laborers,3.0,5.0,1.0
2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,52.293150684931504,12.147945205479452,1,0,1,0,Managers,2.0,22.0,2.0
3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.33698630136986,5.7315068493150685,1,0,1,0,Sales staff,2.0,37.0,0.0
4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,41.1972602739726,5.767123287671233,1,0,0,0,Managers,2.0,26.0,2.0
5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,36.74794520547945,13.687671232876712,1,0,0,1,High skill tech staff,4.0,18.0,1.0
6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,48.136986301369866,5.419178082191781,1,0,0,1,Core staff,1.0,41.0,2.0
7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.81095890410959,14.849315068493151,1,0,0,1,Drivers,2.0,53.0,0.0
8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,41.45479452054794,4.016438356164383,1,0,0,1,No job,3.0,38.0,2.0
9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,43.24657534246575,3.5835616438356164,1,0,0,0,Medicine staff,2.0,5.0,2.0
10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52.227397260273975,6.063013698630137,1,1,1,1,Laborers,1.0,40.0,2.0
11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,32.21643835616438,0.2493150684931507,1,0,0,0,Managers,3.0,51.0,2.0
12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.706849315068496,5.923287671232877,1,0,0,0,Accountants,3.0,60.0,0.0
13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,27.087671232876712,6.778082191780822,1,0,1,0,Sales staff,2.0,41.0,2.0
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62.8,0.0,1,0,1,0,No job,1.0,41.0,2.0
15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,Drivers,4.0,60.0,0.0
16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,53.172602739726024,12.473972602739726,1,0,1,0,Laborers,2.0,2.0,1.0
17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,24.254794520547946,2.695890410958904,1,0,0,1,Sales staff,2.0,14.0,2.0
18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.323287671232876,0.0,1,0,0,0,No job,2.0,37.0,2.0
19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,37.608219178082194,16.523287671232875,1,0,0,0,No job,2.0,7.0,2.0
20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54.38356164383562,4.802739726027397,1,0,1,0,No job,2.0,35.0,2.0
21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.227397260273975,0.0,1,0,1,0,No job,2.0,7.0,2.0
22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41.63835616438356,3.717808219178082,1,0,0,0,Laborers,2.0,22.0,0.0
23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,39.84109589041096,1.2164383561643837,1,1,1,1,No job,2.0,18.0,2.0
24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61.26301369863014,0.0,1,0,1,0,No job,1.0,5.0,2.0
25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.515068493150686,10.12054794520548,1,0,0,0,Realty agents,3.0,4.0,2.0
26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,48.88493150684931,9.186301369863013,1,1,0,0,Laborers,3.0,13.0,2.0
27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,47.42191780821918,9.58904109589041,1,0,0,0,No job,2.0,57.0,2.0
28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,60.57808219178082,6.36986301369863,1,1,1,0,Drivers,2.0,47.0,2.0
29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,32.92328767123288,4.6876712328767125,1,0,1,0,Sales staff,2.0,22.0,0.0
30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.131506849315066,0.6219178082191781,1,0,0,0,Managers,2.0,33.0,2.0
31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,32.224657534246575,9.457534246575342,1,1,0,1,Laborers,2.0,18.0,0.0
32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,36.43561643835616,4.46027397260274,1,0,0,0,Laborers,2.0,2.0,0.0
33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,52.602739726027394,0.947945205479452,1,0,1,0,High skill tech staff,2.0,30.0,2.0
34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,39.69315068493151,4.465753424657534,1,0,1,0,Laborers,3.0,22.0,0.0
35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,39.556164383561644,6.6657534246575345,1,0,0,0,Managers,2.0,20.0,2.0
36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,55.342465753424655,2.8,1,1,1,0,Accountants,1.0,14.0,2.0
37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,45.62465753424657,4.50958904109589,1,0,0,0,Drivers,2.0,8.0,2.0
38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,37.21095890410959,9.512328767123288,1,0,0,0,Sales staff,2.0,41.0,2.0
39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,35.676712328767124,4.383561643835616,1,0,0,0,Laborers,4.0,39.0,2.0
40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,59.45205479452055,6.646575342465753,1,0,0,0,Laborers,2.0,21.0,1.0
41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,34.93698630136986,1.1863013698630136,1,0,1,0,Accountants,4.0,19.0,2.0
42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,27.24109589041096,1.5178082191780822,1,1,0,0,Managers,3.0,35.0,0.0
43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27.295890410958904,5.13972602739726,1,0,0,0,Sales staff,2.0,8.0,1.0
44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,41.43835616438356,0.5452054794520548,1,0,0,0,Drivers,2.0,26.0,2.0
45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,51.10958904109589,8.767123287671232,1,1,1,0,High skill tech staff,2.0,4.0,0.0
46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,57.80821917808219,0.0,1,0,1,0,No job,1.0,24.0,2.0
47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,50.43561643835616,9.53972602739726,1,0,0,0,Sales staff,2.0,48.0,2.0
48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.61643835616438,0.0,1,0,0,0,No job,2.0,4.0,2.0
49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.66575342465753,5.506849315068493,1,0,1,0,No job,2.0,12.0,2.0
50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,38.221917808219175,3.0164383561643837,1,1,0,0,Sales staff,3.0,4.0,2.0
51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,24.43013698630137,3.0164383561643837,1,0,0,1,Drivers,2.0,10.0,2.0
52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.87397260273973,0.0,1,0,1,0,No job,2.0,37.0,2.0
53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,37.0986301369863,10.863013698630137,1,0,0,0,Core staff,4.0,42.0,2.0
54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,42.81095890410959,1.1561643835616437,1,0,0,0,No job,3.0,2.0,1.0
55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,37.961643835616435,8.246575342465754,1,0,0,0,Laborers,2.0,24.0,2.0
56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,44.21095890410959,25.72876712328767,1,0,1,0,Laborers,2.0,29.0,2.0
57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,46.66027397260274,1.7589041095890412,1,0,0,0,Core staff,1.0,3.0,1.0
58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.92876712328767,0.0,1,0,0,0,No job,2.0,23.0,2.0
59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,62.97260273972603,0.0,1,0,1,0,No job,2.0,25.0,2.0
60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.62191780821918,0.0,1,0,0,0,No job,1.0,1.0,1.0
61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,31.15890410958904,3.756164383561644,1,0,0,0,Managers,3.0,15.0,2.0
62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,47.676712328767124,8.638356164383561,1,0,1,0,Core staff,2.0,40.0,1.0
63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,42.701369863013696,9.142465753424657,1,0,0,0,Managers,2.0,21.0,2.0
64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,24.786301369863015,1.9616438356164383,1,0,0,0,Security staff,1.0,32.0,2.0
65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,34.87397260273973,13.523287671232877,1,1,0,0,Cleaning staff,2.0,10.0,2.0
66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,37.701369863013696,7.624657534246575,1,0,0,0,Laborers,3.0,4.0,1.0
67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,33.24657534246575,3.3315068493150686,1,0,0,0,High skill tech staff,4.0,2.0,1.0
68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,28.243835616438357,4.410958904109589,1,0,0,0,Laborers,2.0,14.0,1.0
69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,42.36164383561644,8.134246575342466,1,0,0,1,Medicine staff,2.0,59.0,2.0
70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27.052054794520547,5.282191780821917,1,0,1,0,Laborers,1.0,39.0,2.0
71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.57260273972603,10.375342465753425,1,0,0,0,Laborers,4.0,54.0,2.0
72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,59.106849315068494,2.9616438356164383,1,0,1,0,No job,2.0,4.0,2.0
73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.75068493150685,0.0,1,0,1,0,No job,2.0,34.0,2.0
74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,28.356164383561644,0.6,1,1,1,0,Sales staff,3.0,25.0,2.0
75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.88493150684931,15.068493150684931,1,0,0,1,Core staff,2.0,34.0,2.0
76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,No job,2.0,15.0,2.0
77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,26.898630136986302,1.4246575342465753,1,0,0,0,Core staff,1.0,7.0,1.0
78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,34.76712328767123,0.6328767123287671,1,1,0,0,Sales staff,2.0,23.0,1.0
79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,40.59178082191781,4.580821917808219,1,0,0,0,Core staff,2.0,2.0,0.0
80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,48.93698630136986,0.5808219178082191,1,0,0,0,Laborers,2.0,2.0,1.0
81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,28.257534246575343,2.6356164383561644,1,0,0,1,Sales staff,2.0,-0.0,0.0
82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,41.846575342465755,3.8986301369863012,1,0,0,1,Accountants,2.0,53.0,2.0
83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,32.61643835616438,4.657534246575342,1,0,0,0,High skill tech staff,4.0,38.0,1.0
84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.55616438356165,0.0,1,0,1,0,No job,2.0,27.0,2.0
85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,49.35068493150685,3.328767123287671,1,0,0,0,Laborers,2.0,41.0,1.0
86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,34.441095890410956,1.2356164383561643,1,1,0,1,Drivers,3.0,45.0,2.0
87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,36.35616438356164,0.6438356164383562,1,1,1,1,Core staff,1.0,56.0,2.0
88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.92328767123288,14.868493150684932,1,0,0,0,Managers,2.0,45.0,2.0
89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,39.63013698630137,11.356164383561644,1,1,1,0,Managers,2.0,59.0,2.0
90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,55.342465753424655,25.764383561643836,1,1,0,0,Cleaning staff,2.0,30.0,2.0
91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,51.35342465753425,8.186301369863013,1,0,0,0,Private service staff,2.0,20.0,2.0
92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.397260273972606,1.893150684931507,1,0,0,0,Laborers,3.0,5.0,2.0
93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.2,9.942465753424658,1,0,0,0,High skill tech staff,1.0,22.0,1.0
94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.12328767123287,0.0,1,0,0,0,No job,2.0,26.0,2.0
95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,44.057534246575344,0.0,1,0,1,0,No job,2.0,14.0,2.0
96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,64.86027397260274,5.717808219178083,1,0,0,0,Security staff,2.0,56.0,2.0
97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,25.67945205479452,3.3205479452054796,1,0,0,0,Drivers,2.0,46.0,2.0
