gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,child_num_over_five,duplicated_num,before_employed,house_owner
0,0,0,0,12.218495165528733,0,1,1,2,38.07945205479452,2.631987386576736,0,0,0,12,2.0,6.0,1.0,False,2,35.44746466821779,True
0,0,1,1,12.419165860990882,0,4,0,1,31.17808219178082,1.6523399339783098,0,0,1,8,3.0,5.0,1.0,False,1,29.52574225780251,True
1,1,1,0,13.017002861746503,4,1,1,1,52.293150684931504,2.576265488275754,0,1,0,10,2.0,22.0,2.0,False,5,49.71688519665575,True
0,0,1,0,12.218495165528733,0,4,1,1,41.33698630136986,1.906799018938688,0,1,0,15,2.0,37.0,0.0,False,1,39.43018728243118,True
0,1,1,0,11.967180737247824,2,1,1,1,41.1972602739726,1.9120760760395317,0,0,0,10,2.0,26.0,2.0,False,1,39.28518419793307,True
0,0,1,2,12.506177237980513,4,4,1,1,36.74794520547945,2.687008450245046,0,0,1,6,4.0,18.0,1.0,False,1,34.06093675523441,True
0,0,0,0,12.66032791780777,4,4,2,1,48.136986301369866,1.859290084925304,0,0,1,3,1.0,41.0,2.0,False,5,46.27769621644456,True
1,0,1,0,12.506177237980513,0,4,1,1,40.81095890410959,2.763126286045285,0,0,1,4,2.0,53.0,0.0,False,2,38.04783261806431,True
1,1,1,1,12.100712129872347,0,1,1,1,41.45479452054794,1.6127201910920193,0,0,1,12,3.0,38.0,2.0,False,4,39.842074329455926,True
0,0,1,0,11.54732689168756,4,4,1,1,43.24657534246575,1.5224763474043324,0,0,0,11,2.0,5.0,2.0,False,6,41.72409899506142,True
0,0,1,0,12.173032791451972,4,4,2,1,52.227397260273975,1.9548718299166408,1,1,1,8,1.0,40.0,2.0,False,4,50.27252543035733,True
1,1,1,1,11.813030057420567,0,1,1,1,32.21643835616438,0.2225954559318945,0,0,0,10,3.0,51.0,2.0,False,5,31.993842900232487,True
0,1,1,1,11.967180737247824,0,4,1,1,32.706849315068496,1.9348907538057027,0,0,0,0,3.0,60.0,0.0,False,4,30.771958561262792,True
0,0,0,0,11.813030057420567,4,1,1,1,27.087671232876712,2.05130980289048,0,1,0,15,2.0,41.0,2.0,False,4,25.036361429986236,True
0,0,1,0,11.967180737247824,1,4,3,1,62.8,0.0,0,1,0,12,1.0,41.0,2.0,False,3,62.8,True
1,1,1,2,11.967180737247824,4,4,1,5,35.23013698630137,2.494223840243752,0,1,0,4,4.0,60.0,0.0,False,2,32.73591314605761,True
1,0,1,0,12.100712129872347,4,4,1,1,53.17260273972602,2.6007598691936464,0,1,0,8,2.0,2.0,1.0,False,1,50.57184287053237,True
1,0,0,0,12.506177237980513,0,4,0,5,24.254794520547943,1.3072215026252645,0,0,1,15,2.0,14.0,2.0,False,5,22.94757301792268,True
0,0,1,0,12.283033686666302,1,4,1,1,63.32328767123288,0.0,0,0,0,12,2.0,37.0,2.0,False,3,63.32328767123288,True
0,0,1,0,12.100712129872347,4,4,1,1,37.608219178082194,2.863530720371353,0,0,0,12,2.0,7.0,2.0,False,3,34.74468845771084,True
1,0,0,0,12.100712129872347,4,4,1,1,54.38356164383562,1.7583301725788605,0,1,0,12,2.0,35.0,2.0,False,1,52.62523147125676,True
0,0,0,0,11.967180737247824,1,4,1,1,58.227397260273975,0.0,0,1,0,12,2.0,7.0,2.0,False,5,58.227397260273975,True
0,0,0,0,11.967180737247824,0,4,0,1,41.63835616438356,1.5513443314051845,0,0,0,8,2.0,22.0,0.0,False,1,40.087011832978376,True
1,1,0,0,12.323855681186558,4,4,1,2,39.84109589041096,0.7959015634760002,1,1,1,12,2.0,18.0,2.0,False,2,39.04519432693496,True
0,0,0,0,12.218495165528733,1,4,3,1,61.26301369863014,0.0,0,1,0,12,1.0,5.0,2.0,False,4,61.26301369863014,True
0,0,1,1,12.323855681186558,0,4,1,1,38.515068493150686,2.4087945632564063,0,0,0,14,3.0,4.0,2.0,False,4,36.10627392989428,True
1,1,0,1,11.813030057420567,4,1,1,1,48.88493150684931,2.3210438146988976,1,0,0,8,3.0,13.0,2.0,False,5,46.563887692150416,True
1,1,1,0,12.911642346088676,2,4,1,1,47.42191780821918,2.359819607439031,0,0,0,12,2.0,57.0,2.0,False,5,45.06209820078015,True
1,1,0,0,11.630708500626612,0,4,1,5,60.57808219178082,1.9973991190133933,1,1,0,4,2.0,47.0,2.0,False,1,58.58068307276743,True
0,0,1,0,11.70766954176274,0,4,1,0,32.92328767123288,1.7383008907032875,0,1,0,15,2.0,22.0,0.0,False,2,31.18498678052959,True
